date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:50	254682/254682	---M--	200	added ('OK')	image/png	etag:%22678020b-3e2da-563eb7864f31e%22	https://www.conscientia.co.in/images/logo/cosmic%20clash%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/cosmic%20clash%20icon.png	(from https://www.conscientia.co.in/Events/Aparimit.php)
18:49:51	336593/336593	---M--	200	added ('OK')	image/png	etag:%226780204-522d1-563eb77b34e70%22	https://www.conscientia.co.in/images/logo/astroreflections%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/astroreflections%20icon.png	(from https://www.conscientia.co.in/Events/Aparimit.php)
18:49:51	74953/74953	---M--	200	added ('OK')	image/png	etag:%22678021b-124c9-563eb7aac0909%22	https://www.conscientia.co.in/images/logo/sky%20hunt%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/sky%20hunt%20icon.png	(from https://www.conscientia.co.in/Events/Aparimit.php)
18:49:51	135181/135181	---M--	200	added ('OK')	image/png	etag:%226780203-2100d-563eb779b5d83%22	https://www.conscientia.co.in/images/logo/Astro%20ABC.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/Astro%20ABC.png	(from https://www.conscientia.co.in/Events/Aparimit.php)
18:49:51	90313/90313	---M--	200	added ('OK')	image/jpeg	etag:%22678013d-160c9-563eb713f1498%22	https://www.conscientia.co.in/Events/img/robot_android_digital_art_cgi_104320_1920x1080.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Events/img/robot_android_digital_art_cgi_104320_1920x1080.jpg	(from https://www.conscientia.co.in/Events/Bot%20in%20the%20act.php)
18:49:52	43346/43346	---M--	200	added ('OK')	image/png	etag:%226780226-a952-563eb7b2b4b3f%22	https://www.conscientia.co.in/images/logo/war%20of%20bots%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/war%20of%20bots%20icon.png	(from https://www.conscientia.co.in/Events/Bot%20in%20the%20act.php)
18:49:52	73133/73133	---M--	200	added ('OK')	image/png	etag:%226780212-11dad-563eb799875fa%22	https://www.conscientia.co.in/images/logo/line%20follower%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/line%20follower%20icon.png	(from https://www.conscientia.co.in/Events/Bot%20in%20the%20act.php)
18:49:52	59137/59137	---M--	200	added ('OK')	image/png	etag:%226780219-e701-563eb7a8b9c3c%22	https://www.conscientia.co.in/images/logo/rc%20car%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/rc%20car%20icon.png	(from https://www.conscientia.co.in/Events/Bot%20in%20the%20act.php)
18:49:52	85914/85914	---M--	200	added ('OK')	image/png	etag:%226780202-14f9a-563eb778c03d1%22	https://www.conscientia.co.in/images/logo/amphibot%20icon.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/amphibot%20icon.png	(from https://www.conscientia.co.in/Events/Bot%20in%20the%20act.php)
18:49:53	282444/282444	---M--	200	added ('OK')	image/jpeg	etag:%22678013c-44f4c-563eb7133684e%22	https://www.conscientia.co.in/Events/img/philosophiae.jpg	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/Events/img/philosophiae.jpg	(from https://www.conscientia.co.in/Events/Philosophiae.php)
18:49:54	210548/210548	---M--	200	added ('OK')	image/png	etag:%22678021a-33674-563eb7aa0aadf%22	https://www.conscientia.co.in/images/logo/Screwed.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/Screwed.png	(from https://www.conscientia.co.in/Events/Philosophiae.php)
18:49:55	239462/239462	---M--	200	added ('OK')	image/png	etag:%226780218-3a766-563eb7a810162%22	https://www.conscientia.co.in/images/logo/physics%20quiz%20logo.png	D:/Source%20Codes/HTML/https___www.conscientia.co.in_/www.conscientia.co.in/images/logo/physics%20quiz%20logo.png	(from https://www.conscientia.co.in/Events/Philosophiae.php)
